time_local_start,survey_type
2019-11-14 14:00:00,borehole-borehole
2019-11-14 14:00:00,borehole-borehole
2019-12-03 11:35:00,borehole-borehole
2019-12-03 12:15:00,borehole-borehole
2019-12-03 13:33:00,borehole-borehole
2019-12-03 14:10:00,borehole-borehole
2019-12-03 22:00:00,borehole-borehole
2019-12-03 22:23:00,borehole-borehole
2019-12-04 00:46:00,borehole-borehole
2019-12-04 03:05:00,borehole-borehole
2019-12-04 04:14:00,borehole-borehole
2019-12-04 05:25:00,borehole-borehole
2019-12-04 07:38:00,borehole-borehole
2019-12-04 09:47:00,borehole-borehole
2019-12-04 11:07:00,borehole-borehole
2019-12-04 22:00:00,borehole-borehole
2019-12-04 22:23:00,borehole-borehole
2019-12-05 00:46:00,borehole-borehole
2019-12-05 03:08:00,borehole-borehole
2019-12-05 04:17:00,borehole-borehole
2019-12-05 05:28:00,borehole-borehole
2019-12-05 07:42:00,borehole-borehole
2019-12-05 22:00:00,borehole-borehole
2019-12-05 22:23:00,borehole-borehole
2019-12-06 00:46:00,borehole-borehole
2019-12-06 03:08:00,borehole-borehole
2019-12-06 04:17:00,borehole-borehole
2019-12-06 05:28:00,borehole-borehole
2019-12-06 07:42:00,borehole-borehole
2019-12-06 09:51:00,borehole-borehole
2019-12-06 11:11:00,borehole-borehole
2019-12-06 22:00:00,borehole-borehole
2019-12-06 22:23:00,borehole-borehole
2019-12-07 00:46:00,borehole-borehole
2019-12-07 03:08:00,borehole-borehole
2019-12-07 04:17:00,borehole-borehole
2019-12-07 05:28:00,borehole-borehole
2019-12-07 07:42:00,borehole-borehole
2019-12-07 09:50:00,borehole-borehole
2019-12-07 11:11:00,borehole-borehole
2019-12-07 22:00:00,borehole-borehole
2019-12-07 22:23:00,borehole-borehole
2019-12-08 00:46:00,borehole-borehole
2019-12-08 03:08:00,borehole-borehole
2019-12-08 04:17:00,borehole-borehole
2019-12-08 05:28:00,borehole-borehole
2019-12-08 07:42:00,borehole-borehole
2019-12-08 09:51:00,borehole-borehole
2019-12-08 11:12:00,borehole-borehole
2019-12-08 22:00:00,borehole-borehole
2019-12-08 22:23:00,borehole-borehole
2019-12-09 00:46:00,borehole-borehole
2019-12-09 03:08:00,borehole-borehole
2019-12-09 04:18:00,borehole-borehole
2019-12-09 05:29:00,borehole-borehole
2019-12-09 07:42:00,borehole-borehole
2019-12-09 09:51:00,borehole-borehole
2019-12-09 11:13:00,borehole-borehole
2019-12-09 22:00:00,borehole-borehole
2019-12-09 22:23:00,borehole-borehole
2019-12-10 00:46:00,borehole-borehole
2019-12-10 03:08:00,borehole-borehole
2019-12-10 04:18:00,borehole-borehole
2019-12-10 05:29:00,borehole-borehole
2019-12-10 07:43:00,borehole-borehole
2019-12-10 09:52:00,borehole-borehole
2019-12-10 11:12:00,borehole-borehole
2020-01-08 11:50:00,borehole-borehole
2020-01-08 22:00:00,borehole-borehole
2020-01-08 22:23:00,borehole-borehole
2020-01-09 00:53:00,borehole-borehole
2020-01-09 03:14:00,borehole-borehole
2020-01-09 04:27:00,borehole-borehole
2020-01-09 05:37:00,borehole-borehole
2020-01-09 07:51:00,borehole-borehole
2020-01-09 09:59:00,borehole-borehole
2020-01-09 11:20:00,borehole-borehole
2020-01-09 15:36:00,borehole-borehole
2020-01-09 15:37:00,borehole-borehole
2020-01-09 16:00:00,borehole-borehole
2020-01-10 13:00:00,borehole-borehole
2020-01-10 13:23:00,borehole-borehole
2020-01-10 15:53:00,borehole-borehole
2020-01-10 18:13:00,borehole-borehole
2020-01-10 19:30:00,borehole-borehole
2020-01-10 20:39:00,borehole-borehole
2020-01-10 22:53:00,borehole-borehole
2020-01-11 01:01:00,borehole-borehole
2020-01-11 02:22:00,borehole-borehole
2020-01-11 22:00:00,borehole-borehole
2020-01-11 22:23:00,borehole-borehole
2020-01-12 00:54:00,borehole-borehole
2020-01-12 03:13:00,borehole-borehole
2020-01-12 04:29:00,borehole-borehole
2020-01-12 05:38:00,borehole-borehole
2020-01-12 07:52:00,borehole-borehole
2020-01-12 10:00:00,borehole-borehole
2020-01-12 11:21:00,borehole-borehole
2020-01-12 22:00:00,borehole-borehole
2020-01-12 22:23:00,borehole-borehole
2020-01-13 00:55:00,borehole-borehole
2020-01-13 03:13:00,borehole-borehole
2020-01-13 04:28:00,borehole-borehole
2020-01-13 05:38:00,borehole-borehole
2020-01-13 07:53:00,borehole-borehole
2020-01-13 11:24:00,borehole-borehole
2020-01-13 13:45:00,borehole-borehole
2020-01-13 22:00:00,borehole-borehole
2020-01-13 22:23:00,borehole-borehole
2020-01-14 02:35:00,borehole-borehole
2020-01-14 06:46:00,borehole-borehole
2020-01-14 08:41:00,borehole-borehole
2020-01-14 10:46:00,borehole-borehole
2020-01-14 15:09:00,borehole-borehole
2020-01-14 19:37:00,borehole-borehole
2020-01-14 22:00:00,borehole-borehole
2020-01-15 11:49:00,borehole-borehole
2020-01-16 10:50:00,borehole-borehole
2020-01-16 22:00:00,borehole-borehole
2020-01-16 22:23:00,borehole-borehole
2020-01-17 00:58:00,borehole-borehole
2020-01-17 03:22:00,borehole-borehole
2020-01-17 04:42:00,borehole-borehole
2020-01-17 05:53:00,borehole-borehole
2020-01-17 08:12:00,borehole-borehole
2020-01-17 10:25:00,borehole-borehole
2020-01-17 11:48:00,borehole-borehole
2020-01-17 22:00:00,borehole-borehole
2020-01-17 22:23:00,borehole-borehole
2020-01-18 01:00:00,borehole-borehole
2020-01-18 03:23:00,borehole-borehole
2020-01-18 04:49:00,borehole-borehole
2020-01-18 06:52:00,borehole-borehole
2020-01-18 11:19:00,borehole-borehole
2020-01-18 15:49:00,borehole-borehole
2020-01-18 18:26:00,borehole-borehole
2020-01-18 22:00:00,borehole-borehole
